images,10.3366,188.9843,13.7472,0.0002
images,10.3693,190.0271,13.785,-0.0053
images,10.3351,188.9666,13.7465,0.0003
images,10.3286,188.7694,13.7393,0.0014
images,10.3329,188.8831,13.7435,0.0008
images,10.3246,188.7791,13.7397,0.0013
images,10.3101,188.4458,13.7276,0.0031
images,10.3257,188.6511,13.735,0.002
sentiment,7.9661,133.0067,11.5329,0.0478
images,0.7515,0.8422,0.9177,0.0215
sentiment,7.9698,133.5814,11.5577,0.0437
keywords,10.1805,183.2333,13.5364,0.0006
images,0.7834,0.8896,0.9432,0.0208
sentiment,0.7044,0.7357,0.8577,0.1387
keywords,0.7916,0.9094,0.9536,-0.001
keywords,0.7917,0.9079,0.9528,0.0006
keywords,0.7924,0.9097,0.9538,-0.0013
keywords,0.792,0.9091,0.9535,-0.0007
images,0.7833,0.8894,0.9431,0.0211
images,0.7826,0.8879,0.9423,0.0226
sentiment,0.7006,0.7295,0.8541,0.146
keywords,0.7951,0.9148,0.9565,-0.0069
images,0.783,0.8891,0.9429,0.0213
sentiment,0.7006,0.7288,0.8537,0.1468
keywords,0.7935,0.9127,0.9553,-0.0046
keywords,0.7915,0.9084,0.9531,0.0001
keywords,0.794,0.9136,0.9558,-0.0056
keywords,0.791,0.9074,0.9526,0.0012
keywords,0.7924,0.9098,0.9538,-0.0014
keywords,0.7918,0.9087,0.9532,-0.0002
keywords,0.7942,0.9144,0.9562,-0.0065
keywords,0.7921,0.9085,0.9532,-0.0
keywords,0.7934,0.9108,0.9543,-0.0025
keywords,0.7928,0.9111,0.9545,-0.0028
keywords,0.7921,0.9089,0.9533,-0.0004
keywords,0.7934,0.9111,0.9545,-0.0028
keywords,0.7911,0.9075,0.9526,0.0011
images,0.7828,0.8879,0.9423,0.0227
sentiment,0.7031,0.7338,0.8566,0.1409
keywords,0.7919,0.9082,0.953,0.0003
keywords,0.7922,0.9098,0.9538,-0.0014
keywords,0.7925,0.9097,0.9538,-0.0014
keywords,0.7913,0.9077,0.9527,0.0009
images,0.7835,0.8901,0.9435,0.0202
sentiment,0.7046,0.7368,0.8584,0.1373
keywords,0.7956,0.9171,0.9577,-0.0095
keywords,0.7909,0.9072,0.9525,0.0014
images,0.783,0.8893,0.943,0.0211
sentiment,0.7024,0.7309,0.8549,0.1443
sentiment,0.7027,0.7284,0.8535,0.1472
sentiment,0.2527,0.1006,0.3172,0.1508
sentiment,0.7028,0.7279,0.8532,0.1478
sentiment,0.7389,0.8228,0.9071,0.0943
sentiment,0.7394,0.8239,0.9077,0.0931
sentiment,0.2533,0.1007,0.3173,0.1498
sentiment,0.7026,0.7304,0.8546,0.1448
keywords,0.7921,0.909,0.9534,-0.0006
images,0.7837,0.8908,0.9438,0.0195
sentiment,0.2529,0.1006,0.3172,0.1504
